Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d,Particles > 0.3um / 0.1L air,Particles > 0.5um / 0.1L air,Particles > 1.0um / 0.1L air,Particles > 2.5um / 0.1L air,Particles > 5.0um / 0.1L air,Particles > 10um / 0.1L air
1740007299.293801,15.8696484375,109528,68.58205953700565,0,0,0,225,64,3,0,0,0
1740007300.3055005,15.8747265625,108049,68.58935669940803,0,0,0,225,64,3,0,0,0
1740007301.3172872,15.8790234375,108960,68.66195379116722,0,0,0,225,64,3,0,0,0
1740007302.3288991,15.881953125,109243,68.61005618777753,0,0,0,204,59,6,0,0,0
1740007303.340784,15.881953125,109742,68.61659732139243,0,0,0,204,59,6,0,0,0
1740007304.3525262,15.8829296875,110246,68.60366086196902,0,0,0,204,59,6,0,0,0
1740007305.3643184,15.8825390625,109456,68.60360261884438,0,0,0,204,59,5,0,0,0
1740007306.37606,15.881953125,110102,68.62313865553806,0,0,0,204,59,5,0,0,0
1740007307.3872266,15.8809765625,109243,68.66224517630582,0,0,0,204,59,5,0,0,0
1740007308.3991342,15.8774609375,109599,68.67480627271114,0,0,0,183,52,5,0,0,0
1740007309.4124076,15.8723828125,110391,68.67404861598136,0,0,0,183,52,5,0,0,0
1740007310.4240372,15.8680859375,110609,68.6930371531713,0,0,0,183,52,5,0,0,0
1740007311.4357884,15.861640625,110102,68.69207543608297,0,0,0,198,54,6,0,0,0
1740007312.4475698,15.8534375,110536,68.71048249498887,0,0,0,198,54,6,0,0,0
1740007313.4593527,15.8466015625,110463,68.73563960117664,0,0,0,198,54,6,0,0,0
1740007314.4712615,15.838984375,110900,68.76068282346279,0,0,0,183,54,7,0,0,0
1740007315.4830265,15.83078125,110681,68.79873391326474,0,0,0,183,54,7,0,0,0
1740007316.494841,15.822578125,110827,68.88917893528021,0,0,0,183,54,7,0,0,0
1740007317.50484,15.812421875,112233,68.94006079022476,0,0,0,177,52,7,0,0,0
1740007318.5154862,15.797578125,111341,69.04267696776942,0,0,0,177,52,7,0,0,0
1740007319.5261352,15.7837109375,111637,69.11926042963043,0,0,0,177,52,7,0,0,0
1740007320.5367496,15.7700390625,111860,69.0582180516613,0,0,0,144,41,6,0,0,0
1740007321.5474498,15.7587109375,112684,68.96478664790203,0,0,0,144,41,6,0,0,0
1740007322.5593464,15.7503125,112308,68.91767853755735,0,0,0,144,41,6,0,0,0
1740007323.57112,15.74328125,111637,68.70714230647525,0,0,0,153,45,7,0,0,0
1740007324.5828571,15.7387890625,112233,68.60180758320485,0,0,0,153,45,7,0,0,0
1740007325.5946484,15.73546875,112458,68.58169440427729,0,0,0,153,45,7,0,0,0
1740007326.605888,15.7325390625,112458,68.56818018210848,0,0,0,180,54,6,0,0,0
1740007327.616578,15.73,112609,68.56780237452838,0,0,0,180,54,6,0,0,0
1740007328.627221,15.7274609375,113063,68.5674245790438,0,0,0,180,54,6,0,0,0
1740007329.6378095,15.7239453125,112609,68.60613802553691,0,0,0,201,58,7,0,0,0
1740007330.6484807,15.720234375,113292,68.65137049224401,0,0,0,201,58,7,0,0,0
1740007331.660335,15.7161328125,113063,68.63767745159402,0,0,0,201,58,7,0,0,0
1740007332.6722028,15.711640625,113292,68.67625767847758,0,0,0,207,58,4,0,0,0
1740007333.6839643,15.70734375,113139,68.74104837142889,0,0,0,207,58,4,0,0,0
1740007334.6957395,15.700703125,114683,68.79241717446313,0,0,0,207,58,4,0,0,0
1740007335.7076855,15.6946484375,112836,68.92901505423441,1,1,1,228,65,5,0,0,0
1740007336.7194705,15.6895703125,113829,69.00686776939148,1,1,1,228,65,5,0,0,0
1740007337.7312734,15.68390625,113675,69.10432483598956,1,1,1,228,65,5,0,0,0
1740007338.7430634,15.6786328125,113598,69.11664660978059,1,1,1,258,74,8,1,0,0
1740007339.7549016,15.672578125,114839,69.06330474077406,1,1,1,258,74,8,1,0,0
1740007340.7666473,15.663984375,114060,69.1472347212327,1,1,1,258,74,8,1,0,0
1740007341.7784822,15.65578125,114449,69.26405137090835,1,1,1,282,85,7,1,0,0
1740007342.7902527,15.6497265625,114449,69.47315858904285,1,1,1,282,85,7,1,0,0
1740007343.802115,15.6434765625,114527,69.51162078848995,1,1,1,282,85,7,1,0,0
1740007344.813984,15.6387890625,114918,69.46495139512595,1,1,1,276,83,7,1,0,0
