Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d
1740615524.895096,24.9841015625,95140,31.780746263179648,0,0,0
1740615525.906396,24.9833203125,93966,31.79187248912483,0,0,0
1740615526.918158,24.984296875,95032,31.791959452989996,0,0,0
1740615527.930062,24.984296875,95357,31.791959452989996,0,0,0
1740615528.9419644,24.9837109375,94633,31.797505491893205,0,0,0
1740615529.95372,24.9825390625,94473,31.79180291865421,0,0,0
1740615530.96556,24.9821484375,95605,31.791768133626064,0,0,0
1740615531.9769416,24.9817578125,95170,31.786135372895743,0,0,0
1740615532.9887846,24.9805859375,95550,31.786031034367024,0,0,0
1740615534.0006073,24.9809765625,96264,31.79166377937037,0,0,0
1740615535.0124607,24.9817578125,96486,31.774940069108624,0,0,0
1740615536.0243552,24.982734375,96877,31.78622232261909,0,0,0
1740615537.036517,24.983125,96542,31.780659325009015,0,0,0
1740615538.0483265,24.982734375,97497,31.77502699331003,0,0,0
1740615539.0600832,24.9841015625,97782,31.77514868864157,0,0,0
1740615540.0719588,24.9846875,98183,31.764006327803322,0,0,0
1740615541.0836864,24.9848828125,97896,31.76402370798761,0,0,0
1740615542.0952404,24.9856640625,98587,31.769690392098667,0,0,0
1740615543.1070302,24.9848828125,98587,31.76962086080703,0,0,0
1740615544.1189206,24.9856640625,98878,31.758496282004607,0,0,0
1740615545.1307943,24.9852734375,99230,31.758461526499342,0,0,0
1740615546.1420407,24.9848828125,99525,31.76402370798761,0,0,0
1740615547.1537743,24.9848828125,99584,31.76402370798761,0,0,0
1740615548.1655047,24.984296875,100722,31.758374638339905,0,0,0
1740615549.1773198,24.9846875,100601,31.752812675160946,0,0,0
1740615550.1891127,24.9846875,100964,31.76960347807038,0,0,0
1740615551.2009542,24.9841015625,101515,31.75276055012955,0,0,0
1740615552.2126763,24.9833203125,101824,31.747094566062458,0,0,0
1740615553.224489,24.9833203125,101886,31.747094566062458,0,0,0
1740615554.236311,24.983125,102384,31.763867287571177,0,1,1
1740615555.24789,24.982734375,102072,31.752638926263565,0,1,1
1740615556.2591715,24.983125,102635,31.74707719381138,0,1,1
1740615557.271222,24.9821484375,103715,31.746990333073356,0,0,0
1740615558.2835808,24.9821484375,103587,31.763780388547453,0,0,0
1740615559.2953632,24.9809765625,103587,31.74688610132588,0,0,0
1740615560.3075724,24.9801953125,103268,31.76360659308783,0,1,1
1740615561.3195386,24.9794140625,104622,31.746747127593967,0,1,1
1740615562.330189,24.98,103973,31.746799242484762,0,1,1
1740615563.3408487,24.98,104231,31.741203017332168,0,1,1
1740615564.3515208,24.9805859375,105082,31.746851357685955,0,1,1
1740615565.3622024,24.9809765625,105082,31.74688610132588,0,1,1
1740615566.3734713,24.9809765625,105745,31.74688610132588,0,1,1
1740615567.385223,24.9815625,105016,31.74134197147254,0,1,1
1740615568.39705,24.981171875,105812,31.73571120822814,0,1,1
1740615569.408865,24.9817578125,106147,31.741359340895265,0,1,1
1740615570.4206536,24.9825390625,106552,31.741428818931013,0,1,1
1740615571.4324677,24.982734375,106688,31.74144618852616,0,1,1
1740615572.4443612,24.9825390625,107510,31.735832776561267,0,1,1
1740615573.4562466,24.9817578125,107717,31.746955589019574,0,1,1
1740615574.4679704,24.981171875,107786,31.741307232730545,0,1,1
1740615575.479637,24.9805859375,106892,31.746851357685955,0,1,1
1740615576.4913857,24.979609375,107234,31.73557227505903,0,1,1
1740615577.5031006,24.9786328125,108696,31.735485442948928,0,1,1
1740615578.5149474,24.9778515625,108274,31.73541597788149,0,1,1
1740615579.526728,24.9786328125,108696,31.741081434269777,0,1,1
1740615580.538604,24.9790234375,108414,31.74111617211518,0,1,1
1740615581.5505037,24.98,108979,31.73560700814443,0,1,1
